Water Control Zone	Station	Dates	Sample No	Depth	5-day Biochemical Oxygen Demand (mg/L)
Tolo Harbour And Channel	TM3	08-11-1990	1	Surface Water	1.6
Tolo Harbour And Channel	TM3	08-11-1990	1	Middle Water	1.3
Tolo Harbour And Channel	TM3	08-11-1990	1	Bottom Water	1.3
Tolo Harbour And Channel	TM3	21-11-1990	1	Surface Water	1.2
Tolo Harbour And Channel	TM3	21-11-1990	1	Middle Water	0.8
Tolo Harbour And Channel	TM3	21-11-1990	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	05-12-1990	1	Surface Water	2.7
Tolo Harbour And Channel	TM3	05-12-1990	1	Middle Water	2.5
Tolo Harbour And Channel	TM3	05-12-1990	1	Bottom Water	2.1
Tolo Harbour And Channel	TM3	20-12-1990	1	Surface Water	7.2
Tolo Harbour And Channel	TM3	20-12-1990	1	Middle Water	2.6
Tolo Harbour And Channel	TM3	20-12-1990	1	Bottom Water	2.2
Tolo Harbour And Channel	TM3	02-01-1991	1	Surface Water	1.5
Tolo Harbour And Channel	TM3	02-01-1991	1	Middle Water	1.3
Tolo Harbour And Channel	TM3	02-01-1991	1	Bottom Water	1
Tolo Harbour And Channel	TM3	16-01-1991	1	Surface Water	0.8
Tolo Harbour And Channel	TM3	16-01-1991	1	Middle Water	0.7
Tolo Harbour And Channel	TM3	16-01-1991	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	30-01-1991	1	Surface Water	6.4
Tolo Harbour And Channel	TM3	30-01-1991	1	Middle Water	6.4
Tolo Harbour And Channel	TM3	30-01-1991	1	Bottom Water	3.5
Tolo Harbour And Channel	TM3	12-02-1991	1	Surface Water	2.6
Tolo Harbour And Channel	TM3	12-02-1991	1	Middle Water	2.7
Tolo Harbour And Channel	TM3	12-02-1991	1	Bottom Water	1.7
Tolo Harbour And Channel	TM3	27-02-1991	1	Surface Water	1.5
Tolo Harbour And Channel	TM3	27-02-1991	1	Middle Water	1
Tolo Harbour And Channel	TM3	27-02-1991	1	Bottom Water	1
Tolo Harbour And Channel	TM3	13-03-1991	1	Surface Water	2.2
Tolo Harbour And Channel	TM3	13-03-1991	1	Middle Water	1.6
Tolo Harbour And Channel	TM3	13-03-1991	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	10-04-1991	1	Surface Water	2.4
Tolo Harbour And Channel	TM3	10-04-1991	1	Middle Water	1.5
Tolo Harbour And Channel	TM3	10-04-1991	1	Bottom Water	1.4
Tolo Harbour And Channel	TM3	25-04-1991	1	Surface Water	5.4
Tolo Harbour And Channel	TM3	25-04-1991	1	Middle Water	0.6
Tolo Harbour And Channel	TM3	25-04-1991	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	08-05-1991	1	Surface Water	5.1
Tolo Harbour And Channel	TM3	08-05-1991	1	Middle Water	1.2
Tolo Harbour And Channel	TM3	08-05-1991	1	Bottom Water	0.4
Tolo Harbour And Channel	TM3	22-05-1991	1	Surface Water	3.5
Tolo Harbour And Channel	TM3	22-05-1991	1	Middle Water	2.4
Tolo Harbour And Channel	TM3	22-05-1991	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	07-06-1991	1	Surface Water	3.2
Tolo Harbour And Channel	TM3	07-06-1991	1	Middle Water	3
Tolo Harbour And Channel	TM3	07-06-1991	1	Bottom Water	1.4
Tolo Harbour And Channel	TM3	03-07-1991	1	Surface Water	5.1
Tolo Harbour And Channel	TM3	03-07-1991	1	Middle Water	2.5
Tolo Harbour And Channel	TM3	03-07-1991	1	Bottom Water	1.9
Tolo Harbour And Channel	TM3	18-07-1991	1	Surface Water	2.9
Tolo Harbour And Channel	TM3	18-07-1991	1	Middle Water	2.7
Tolo Harbour And Channel	TM3	18-07-1991	1	Bottom Water	1.7
Tolo Harbour And Channel	TM3	01-08-1991	1	Surface Water	2.6
Tolo Harbour And Channel	TM3	01-08-1991	1	Middle Water	3.3
Tolo Harbour And Channel	TM3	01-08-1991	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	14-08-1991	1	Surface Water	1.5
Tolo Harbour And Channel	TM3	14-08-1991	1	Middle Water	1
Tolo Harbour And Channel	TM3	14-08-1991	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	11-09-1991	1	Surface Water	3.8
Tolo Harbour And Channel	TM3	11-09-1991	1	Middle Water	1.4
Tolo Harbour And Channel	TM3	11-09-1991	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	09-10-1991	1	Surface Water	1.4
Tolo Harbour And Channel	TM3	09-10-1991	1	Middle Water	0.5
Tolo Harbour And Channel	TM3	09-10-1991	1	Bottom Water	0.1
Tolo Harbour And Channel	TM3	23-10-1991	1	Surface Water	2.5
Tolo Harbour And Channel	TM3	23-10-1991	1	Middle Water	2.4
Tolo Harbour And Channel	TM3	23-10-1991	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	06-11-1991	1	Surface Water	3.3
Tolo Harbour And Channel	TM3	06-11-1991	1	Middle Water	2.8
Tolo Harbour And Channel	TM3	06-11-1991	1	Bottom Water	1.9
Tolo Harbour And Channel	TM3	20-11-1991	1	Surface Water	3.2
Tolo Harbour And Channel	TM3	20-11-1991	1	Middle Water	2.3
Tolo Harbour And Channel	TM3	20-11-1991	1	Bottom Water	1.2
Tolo Harbour And Channel	TM3	06-12-1991	1	Surface Water	3.3
Tolo Harbour And Channel	TM3	06-12-1991	1	Middle Water	2.5
Tolo Harbour And Channel	TM3	06-12-1991	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	17-12-1991	1	Surface Water	4.7
Tolo Harbour And Channel	TM3	17-12-1991	1	Middle Water	2.3
Tolo Harbour And Channel	TM3	17-12-1991	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	16-01-1992	1	Surface Water	3.5
Tolo Harbour And Channel	TM3	16-01-1992	1	Middle Water	2.8
Tolo Harbour And Channel	TM3	16-01-1992	1	Bottom Water	1.9
Tolo Harbour And Channel	TM3	19-02-1992	1	Surface Water	1.5
Tolo Harbour And Channel	TM3	19-02-1992	1	Middle Water	1.4
Tolo Harbour And Channel	TM3	19-02-1992	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	18-03-1992	1	Surface Water	4.1
Tolo Harbour And Channel	TM3	18-03-1992	1	Middle Water	3.6
Tolo Harbour And Channel	TM3	18-03-1992	1	Bottom Water	2.1
Tolo Harbour And Channel	TM3	15-04-1992	1	Surface Water	2.2
Tolo Harbour And Channel	TM3	15-04-1992	1	Middle Water	0.8
Tolo Harbour And Channel	TM3	15-04-1992	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	21-05-1992	1	Surface Water	6.5
Tolo Harbour And Channel	TM3	21-05-1992	1	Middle Water	4.6
Tolo Harbour And Channel	TM3	21-05-1992	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	18-06-1992	1	Surface Water	2.7
Tolo Harbour And Channel	TM3	18-06-1992	1	Middle Water	0.7
Tolo Harbour And Channel	TM3	18-06-1992	1	Bottom Water	0.5
Tolo Harbour And Channel	TM3	07-07-1992	1	Surface Water	2.1
Tolo Harbour And Channel	TM3	07-07-1992	1	Middle Water	1.3
Tolo Harbour And Channel	TM3	07-07-1992	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	19-08-1992	1	Surface Water	4.8
Tolo Harbour And Channel	TM3	19-08-1992	1	Middle Water	4.3
Tolo Harbour And Channel	TM3	19-08-1992	1	Bottom Water	2.2
Tolo Harbour And Channel	TM3	09-09-1992	1	Surface Water	2
Tolo Harbour And Channel	TM3	09-09-1992	1	Middle Water	1.5
Tolo Harbour And Channel	TM3	09-09-1992	1	Bottom Water	1
Tolo Harbour And Channel	TM3	14-10-1992	1	Surface Water	3.2
Tolo Harbour And Channel	TM3	14-10-1992	1	Middle Water	2.6
Tolo Harbour And Channel	TM3	14-10-1992	1	Bottom Water	1.6
Tolo Harbour And Channel	TM3	18-11-1992	1	Surface Water	3.5
Tolo Harbour And Channel	TM3	18-11-1992	1	Middle Water	4
Tolo Harbour And Channel	TM3	18-11-1992	1	Bottom Water	2.9
Tolo Harbour And Channel	TM3	16-12-1992	1	Surface Water	2.9
Tolo Harbour And Channel	TM3	16-12-1992	1	Middle Water	2.3
Tolo Harbour And Channel	TM3	16-12-1992	1	Bottom Water	2.5
Tolo Harbour And Channel	TM3	13-01-1993	1	Surface Water	3.4
Tolo Harbour And Channel	TM3	13-01-1993	1	Middle Water	2.5
Tolo Harbour And Channel	TM3	13-01-1993	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	17-02-1993	1	Surface Water	1.5
Tolo Harbour And Channel	TM3	17-02-1993	1	Middle Water	1
Tolo Harbour And Channel	TM3	17-02-1993	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	18-03-1993	1	Surface Water	0.7
Tolo Harbour And Channel	TM3	18-03-1993	1	Middle Water	0.9
Tolo Harbour And Channel	TM3	18-03-1993	1	Bottom Water	0.5
Tolo Harbour And Channel	TM3	28-04-1993	1	Surface Water	2.8
Tolo Harbour And Channel	TM3	28-04-1993	1	Middle Water	1.7
Tolo Harbour And Channel	TM3	28-04-1993	1	Bottom Water	1.2
Tolo Harbour And Channel	TM3	17-05-1993	1	Surface Water	4.4
Tolo Harbour And Channel	TM3	17-05-1993	1	Middle Water	2.7
Tolo Harbour And Channel	TM3	17-05-1993	1	Bottom Water	1.3
Tolo Harbour And Channel	TM3	10-06-1993	1	Surface Water	2.2
Tolo Harbour And Channel	TM3	10-06-1993	1	Middle Water	1.9
Tolo Harbour And Channel	TM3	10-06-1993	1	Bottom Water	1.4
Tolo Harbour And Channel	TM3	20-07-1993	1	Surface Water	4.7
Tolo Harbour And Channel	TM3	20-07-1993	1	Middle Water	2
Tolo Harbour And Channel	TM3	20-07-1993	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	23-08-1993	1	Surface Water	4.1
Tolo Harbour And Channel	TM3	23-08-1993	1	Middle Water	1.8
Tolo Harbour And Channel	TM3	23-08-1993	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	07-09-1993	1	Surface Water	5.8
Tolo Harbour And Channel	TM3	07-09-1993	1	Middle Water	4.6
Tolo Harbour And Channel	TM3	07-09-1993	1	Bottom Water	2
Tolo Harbour And Channel	TM3	27-10-1993	1	Surface Water	2
Tolo Harbour And Channel	TM3	27-10-1993	1	Middle Water	2.7
Tolo Harbour And Channel	TM3	27-10-1993	1	Bottom Water	0.5
Tolo Harbour And Channel	TM3	29-11-1993	1	Surface Water	4.6
Tolo Harbour And Channel	TM3	29-11-1993	1	Middle Water	5.7
Tolo Harbour And Channel	TM3	29-11-1993	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	23-12-1993	1	Surface Water	1.7
Tolo Harbour And Channel	TM3	23-12-1993	1	Middle Water	1.7
Tolo Harbour And Channel	TM3	23-12-1993	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	20-01-1994	1	Surface Water	2.5
Tolo Harbour And Channel	TM3	20-01-1994	1	Middle Water	1.4
Tolo Harbour And Channel	TM3	20-01-1994	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	25-02-1994	1	Surface Water	1.9
Tolo Harbour And Channel	TM3	25-02-1994	1	Middle Water	0.9
Tolo Harbour And Channel	TM3	25-02-1994	1	Bottom Water	0.4
Tolo Harbour And Channel	TM3	23-03-1994	1	Surface Water	3.6
Tolo Harbour And Channel	TM3	23-03-1994	1	Middle Water	2.7
Tolo Harbour And Channel	TM3	23-03-1994	1	Bottom Water	2.3
Tolo Harbour And Channel	TM3	22-04-1994	1	Surface Water	4.8
Tolo Harbour And Channel	TM3	22-04-1994	1	Middle Water	2.9
Tolo Harbour And Channel	TM3	22-04-1994	1	Bottom Water	1.9
Tolo Harbour And Channel	TM3	23-05-1994	1	Surface Water	3.8
Tolo Harbour And Channel	TM3	23-05-1994	1	Middle Water	2.6
Tolo Harbour And Channel	TM3	23-05-1994	1	Bottom Water	1.4
Tolo Harbour And Channel	TM3	27-06-1994	1	Surface Water	2.6
Tolo Harbour And Channel	TM3	27-06-1994	1	Middle Water	0.7
Tolo Harbour And Channel	TM3	27-06-1994	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	25-07-1994	1	Surface Water	1.4
Tolo Harbour And Channel	TM3	25-07-1994	1	Middle Water	0.4
Tolo Harbour And Channel	TM3	25-07-1994	1	Bottom Water	0.3
Tolo Harbour And Channel	TM3	25-08-1994	1	Surface Water	3.7
Tolo Harbour And Channel	TM3	25-08-1994	1	Middle Water	2
Tolo Harbour And Channel	TM3	25-08-1994	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	19-09-1994	1	Surface Water	<0.1
Tolo Harbour And Channel	TM3	19-09-1994	1	Middle Water	0.9
Tolo Harbour And Channel	TM3	19-09-1994	1	Bottom Water	0.3
Tolo Harbour And Channel	TM3	06-10-1994	1	Surface Water	3.1
Tolo Harbour And Channel	TM3	06-10-1994	1	Middle Water	3.6
Tolo Harbour And Channel	TM3	06-10-1994	1	Bottom Water	0.4
Tolo Harbour And Channel	TM3	27-10-1994	1	Surface Water	3.5
Tolo Harbour And Channel	TM3	27-10-1994	1	Middle Water	2.2
Tolo Harbour And Channel	TM3	27-10-1994	1	Bottom Water	0.5
Tolo Harbour And Channel	TM3	11-11-1994	1	Surface Water	5.9
Tolo Harbour And Channel	TM3	11-11-1994	1	Middle Water	1
Tolo Harbour And Channel	TM3	11-11-1994	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	24-11-1994	1	Surface Water	2.5
Tolo Harbour And Channel	TM3	24-11-1994	1	Middle Water	3.3
Tolo Harbour And Channel	TM3	24-11-1994	1	Bottom Water	1.6
Tolo Harbour And Channel	TM3	07-12-1994	1	Surface Water	1.2
Tolo Harbour And Channel	TM3	07-12-1994	1	Middle Water	1
Tolo Harbour And Channel	TM3	07-12-1994	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	29-12-1994	1	Surface Water	3.2
Tolo Harbour And Channel	TM3	29-12-1994	1	Middle Water	1.6
Tolo Harbour And Channel	TM3	29-12-1994	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	09-01-1995	1	Surface Water	3.3
Tolo Harbour And Channel	TM3	09-01-1995	1	Middle Water	2.5
Tolo Harbour And Channel	TM3	09-01-1995	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	23-01-1995	1	Surface Water	3.9
Tolo Harbour And Channel	TM3	23-01-1995	1	Middle Water	1.5
Tolo Harbour And Channel	TM3	23-01-1995	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	13-02-1995	1	Surface Water	2.9
Tolo Harbour And Channel	TM3	13-02-1995	1	Middle Water	2.1
Tolo Harbour And Channel	TM3	13-02-1995	1	Bottom Water	1
Tolo Harbour And Channel	TM3	01-03-1995	1	Surface Water	2.5
Tolo Harbour And Channel	TM3	01-03-1995	1	Middle Water	1.2
Tolo Harbour And Channel	TM3	01-03-1995	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	27-03-1995	1	Surface Water	4.1
Tolo Harbour And Channel	TM3	27-03-1995	1	Middle Water	5.2
Tolo Harbour And Channel	TM3	27-03-1995	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	11-04-1995	1	Surface Water	3.9
Tolo Harbour And Channel	TM3	11-04-1995	1	Middle Water	1
Tolo Harbour And Channel	TM3	11-04-1995	1	Bottom Water	0.2
Tolo Harbour And Channel	TM3	24-04-1995	1	Surface Water	4.1
Tolo Harbour And Channel	TM3	24-04-1995	1	Middle Water	2.3
Tolo Harbour And Channel	TM3	24-04-1995	1	Bottom Water	1.3
Tolo Harbour And Channel	TM3	08-05-1995	1	Surface Water	6
Tolo Harbour And Channel	TM3	08-05-1995	1	Middle Water	2.8
Tolo Harbour And Channel	TM3	08-05-1995	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	22-05-1995	1	Surface Water	3.3
Tolo Harbour And Channel	TM3	22-05-1995	1	Middle Water	3.2
Tolo Harbour And Channel	TM3	22-05-1995	1	Bottom Water	3.1
Tolo Harbour And Channel	TM3	09-06-1995	1	Surface Water	3.5
Tolo Harbour And Channel	TM3	09-06-1995	1	Middle Water	1.7
Tolo Harbour And Channel	TM3	09-06-1995	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	23-06-1995	1	Surface Water	3.1
Tolo Harbour And Channel	TM3	23-06-1995	1	Middle Water	1.3
Tolo Harbour And Channel	TM3	23-06-1995	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	07-07-1995	1	Surface Water	2.1
Tolo Harbour And Channel	TM3	07-07-1995	1	Middle Water	1.8
Tolo Harbour And Channel	TM3	07-07-1995	1	Bottom Water	1
Tolo Harbour And Channel	TM3	20-07-1995	1	Surface Water	4.2
Tolo Harbour And Channel	TM3	20-07-1995	1	Middle Water	1.1
Tolo Harbour And Channel	TM3	20-07-1995	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	04-08-1995	1	Surface Water	0.6
Tolo Harbour And Channel	TM3	04-08-1995	1	Middle Water	0.7
Tolo Harbour And Channel	TM3	04-08-1995	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	16-08-1995	1	Surface Water	2.5
Tolo Harbour And Channel	TM3	16-08-1995	1	Middle Water	0.4
Tolo Harbour And Channel	TM3	16-08-1995	1	Bottom Water	0.3
Tolo Harbour And Channel	TM3	14-09-1995	1	Surface Water	3.7
Tolo Harbour And Channel	TM3	14-09-1995	1	Middle Water	2.6
Tolo Harbour And Channel	TM3	14-09-1995	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	28-09-1995	1	Surface Water	4.2
Tolo Harbour And Channel	TM3	28-09-1995	1	Middle Water	2.2
Tolo Harbour And Channel	TM3	28-09-1995	1	Bottom Water	1.9
Tolo Harbour And Channel	TM3	05-10-1995	1	Surface Water	1.1
Tolo Harbour And Channel	TM3	05-10-1995	1	Middle Water	0.4
Tolo Harbour And Channel	TM3	05-10-1995	1	Bottom Water	0.3
Tolo Harbour And Channel	TM3	19-10-1995	1	Surface Water	5.5
Tolo Harbour And Channel	TM3	19-10-1995	1	Middle Water	0.2
Tolo Harbour And Channel	TM3	19-10-1995	1	Bottom Water	<0.1
Tolo Harbour And Channel	TM3	06-11-1995	1	Surface Water	4
Tolo Harbour And Channel	TM3	06-11-1995	1	Middle Water	1.4
Tolo Harbour And Channel	TM3	06-11-1995	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	20-11-1995	1	Surface Water	4.7
Tolo Harbour And Channel	TM3	20-11-1995	1	Middle Water	5.3
Tolo Harbour And Channel	TM3	20-11-1995	1	Bottom Water	3.5
Tolo Harbour And Channel	TM3	06-12-1995	1	Surface Water	5.5
Tolo Harbour And Channel	TM3	06-12-1995	1	Middle Water	4.9
Tolo Harbour And Channel	TM3	06-12-1995	1	Bottom Water	2.5
Tolo Harbour And Channel	TM3	05-01-1996	1	Surface Water	>7.5
Tolo Harbour And Channel	TM3	05-01-1996	1	Middle Water	2.8
Tolo Harbour And Channel	TM3	05-01-1996	1	Bottom Water	1.8
Tolo Harbour And Channel	TM3	22-01-1996	1	Surface Water	7.1
Tolo Harbour And Channel	TM3	22-01-1996	1	Middle Water	3.8
Tolo Harbour And Channel	TM3	22-01-1996	1	Bottom Water	2.3
Tolo Harbour And Channel	TM3	08-02-1996	1	Surface Water	3.9
Tolo Harbour And Channel	TM3	08-02-1996	1	Middle Water	3.2
Tolo Harbour And Channel	TM3	08-02-1996	1	Bottom Water	1.2
Tolo Harbour And Channel	TM3	26-02-1996	1	Surface Water	0.7
Tolo Harbour And Channel	TM3	26-02-1996	1	Middle Water	0.6
Tolo Harbour And Channel	TM3	26-02-1996	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	15-03-1996	1	Surface Water	3.2
Tolo Harbour And Channel	TM3	15-03-1996	1	Middle Water	1.1
Tolo Harbour And Channel	TM3	15-03-1996	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	27-03-1996	1	Surface Water	5.5
Tolo Harbour And Channel	TM3	27-03-1996	1	Middle Water	2.8
Tolo Harbour And Channel	TM3	27-03-1996	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	11-04-1996	1	Surface Water	3.7
Tolo Harbour And Channel	TM3	11-04-1996	1	Middle Water	1.4
Tolo Harbour And Channel	TM3	11-04-1996	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	26-04-1996	1	Surface Water	4.4
Tolo Harbour And Channel	TM3	26-04-1996	1	Middle Water	2.2
Tolo Harbour And Channel	TM3	26-04-1996	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	09-05-1996	1	Surface Water	11.7
Tolo Harbour And Channel	TM3	09-05-1996	1	Middle Water	1.9
Tolo Harbour And Channel	TM3	09-05-1996	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	22-05-1996	1	Surface Water	4.2
Tolo Harbour And Channel	TM3	22-05-1996	1	Middle Water	3.4
Tolo Harbour And Channel	TM3	22-05-1996	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	06-06-1996	1	Surface Water	4.1
Tolo Harbour And Channel	TM3	06-06-1996	1	Middle Water	3.2
Tolo Harbour And Channel	TM3	06-06-1996	1	Bottom Water	2.7
Tolo Harbour And Channel	TM3	24-06-1996	1	Surface Water	1.1
Tolo Harbour And Channel	TM3	24-06-1996	1	Middle Water	1.2
Tolo Harbour And Channel	TM3	24-06-1996	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	05-07-1996	1	Surface Water	5.9
Tolo Harbour And Channel	TM3	05-07-1996	1	Middle Water	5.3
Tolo Harbour And Channel	TM3	05-07-1996	1	Bottom Water	2.3
Tolo Harbour And Channel	TM3	18-07-1996	1	Surface Water	3.6
Tolo Harbour And Channel	TM3	18-07-1996	1	Middle Water	4
Tolo Harbour And Channel	TM3	18-07-1996	1	Bottom Water	2.1
Tolo Harbour And Channel	TM3	05-08-1996	1	Surface Water	2.2
Tolo Harbour And Channel	TM3	05-08-1996	1	Middle Water	2.3
Tolo Harbour And Channel	TM3	05-08-1996	1	Bottom Water	1.7
Tolo Harbour And Channel	TM3	19-08-1996	1	Surface Water	4.4
Tolo Harbour And Channel	TM3	19-08-1996	1	Middle Water	2.3
Tolo Harbour And Channel	TM3	19-08-1996	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	06-09-1996	1	Surface Water	4.8
Tolo Harbour And Channel	TM3	06-09-1996	1	Middle Water	2.7
Tolo Harbour And Channel	TM3	06-09-1996	1	Bottom Water	2.3
Tolo Harbour And Channel	TM3	26-09-1996	1	Surface Water	5
Tolo Harbour And Channel	TM3	26-09-1996	1	Middle Water	3.8
Tolo Harbour And Channel	TM3	26-09-1996	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	04-10-1996	1	Surface Water	9.6
Tolo Harbour And Channel	TM3	04-10-1996	1	Middle Water	1.1
Tolo Harbour And Channel	TM3	04-10-1996	1	Bottom Water	1.2
Tolo Harbour And Channel	TM3	24-10-1996	1	Surface Water	11
Tolo Harbour And Channel	TM3	24-10-1996	1	Middle Water	2.3
Tolo Harbour And Channel	TM3	24-10-1996	1	Bottom Water	1.6
Tolo Harbour And Channel	TM3	08-11-1996	1	Surface Water	4.8
Tolo Harbour And Channel	TM3	08-11-1996	1	Middle Water	4.5
Tolo Harbour And Channel	TM3	08-11-1996	1	Bottom Water	2.1
Tolo Harbour And Channel	TM3	20-11-1996	1	Surface Water	3.1
Tolo Harbour And Channel	TM3	20-11-1996	1	Middle Water	2.6
Tolo Harbour And Channel	TM3	20-11-1996	1	Bottom Water	2
Tolo Harbour And Channel	TM3	05-12-1996	1	Surface Water	0.9
Tolo Harbour And Channel	TM3	05-12-1996	1	Middle Water	0.9
Tolo Harbour And Channel	TM3	05-12-1996	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	19-12-1996	1	Surface Water	7.1
Tolo Harbour And Channel	TM3	19-12-1996	1	Middle Water	4.9
Tolo Harbour And Channel	TM3	19-12-1996	1	Bottom Water	2.5
Tolo Harbour And Channel	TM3	09-01-1997	1	Surface Water	5.6
Tolo Harbour And Channel	TM3	09-01-1997	1	Middle Water	5
Tolo Harbour And Channel	TM3	09-01-1997	1	Bottom Water	4.8
Tolo Harbour And Channel	TM3	20-01-1997	1	Surface Water	7.9
Tolo Harbour And Channel	TM3	20-01-1997	1	Middle Water	3.3
Tolo Harbour And Channel	TM3	20-01-1997	1	Bottom Water	2.2
Tolo Harbour And Channel	TM3	17-02-1997	1	Surface Water	1
Tolo Harbour And Channel	TM3	17-02-1997	1	Middle Water	1
Tolo Harbour And Channel	TM3	17-02-1997	1	Bottom Water	0.3
Tolo Harbour And Channel	TM3	27-02-1997	1	Surface Water	5
Tolo Harbour And Channel	TM3	27-02-1997	1	Middle Water	4.7
Tolo Harbour And Channel	TM3	27-02-1997	1	Bottom Water	2.7
Tolo Harbour And Channel	TM3	07-03-1997	1	Surface Water	6.9
Tolo Harbour And Channel	TM3	07-03-1997	1	Middle Water	6.9
Tolo Harbour And Channel	TM3	07-03-1997	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	20-03-1997	1	Surface Water	
Tolo Harbour And Channel	TM3	20-03-1997	1	Middle Water	
Tolo Harbour And Channel	TM3	20-03-1997	1	Bottom Water	
Tolo Harbour And Channel	TM3	14-04-1997	1	Surface Water	4.7
Tolo Harbour And Channel	TM3	14-04-1997	1	Middle Water	2.2
Tolo Harbour And Channel	TM3	14-04-1997	1	Bottom Water	1.6
Tolo Harbour And Channel	TM3	28-04-1997	1	Surface Water	6.4
Tolo Harbour And Channel	TM3	28-04-1997	1	Middle Water	2.6
Tolo Harbour And Channel	TM3	28-04-1997	1	Bottom Water	3.9
Tolo Harbour And Channel	TM3	07-05-1997	1	Surface Water	1.8
Tolo Harbour And Channel	TM3	07-05-1997	1	Middle Water	1.2
Tolo Harbour And Channel	TM3	07-05-1997	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	22-05-1997	1	Surface Water	1.6
Tolo Harbour And Channel	TM3	22-05-1997	1	Middle Water	1.6
Tolo Harbour And Channel	TM3	22-05-1997	1	Bottom Water	1.7
Tolo Harbour And Channel	TM3	05-06-1997	1	Surface Water	3.9
Tolo Harbour And Channel	TM3	05-06-1997	1	Middle Water	2
Tolo Harbour And Channel	TM3	05-06-1997	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	20-06-1997	1	Surface Water	8.5
Tolo Harbour And Channel	TM3	20-06-1997	1	Middle Water	1.2
Tolo Harbour And Channel	TM3	20-06-1997	1	Bottom Water	0.5
Tolo Harbour And Channel	TM3	11-07-1997	1	Surface Water	4.4
Tolo Harbour And Channel	TM3	11-07-1997	1	Middle Water	0.4
Tolo Harbour And Channel	TM3	11-07-1997	1	Bottom Water	0.3
Tolo Harbour And Channel	TM3	23-07-1997	1	Surface Water	3.1
Tolo Harbour And Channel	TM3	23-07-1997	1	Middle Water	0.7
Tolo Harbour And Channel	TM3	23-07-1997	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	08-08-1997	1	Surface Water	2.4
Tolo Harbour And Channel	TM3	08-08-1997	1	Middle Water	0.3
Tolo Harbour And Channel	TM3	08-08-1997	1	Bottom Water	0.2
Tolo Harbour And Channel	TM3	28-08-1997	1	Surface Water	2.9
Tolo Harbour And Channel	TM3	28-08-1997	1	Middle Water	1.5
Tolo Harbour And Channel	TM3	28-08-1997	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	05-09-1997	1	Surface Water	2
Tolo Harbour And Channel	TM3	05-09-1997	1	Middle Water	0.5
Tolo Harbour And Channel	TM3	05-09-1997	1	Bottom Water	0.3
Tolo Harbour And Channel	TM3	22-09-1997	1	Surface Water	1.3
