Water Control Zone	Station	Dates	Sample No	Depth	5-day Biochemical Oxygen Demand (mg/L)
Tolo Harbour And Channel	TM3	23-12-1986	1	Middle Water	4.5
Tolo Harbour And Channel	TM3	23-12-1986	1	Bottom Water	2.8
Tolo Harbour And Channel	TM3	07-01-1987	1	Surface Water	4.2
Tolo Harbour And Channel	TM3	07-01-1987	1	Middle Water	3
Tolo Harbour And Channel	TM3	07-01-1987	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	21-01-1987	1	Surface Water	1.9
Tolo Harbour And Channel	TM3	21-01-1987	1	Middle Water	1.9
Tolo Harbour And Channel	TM3	21-01-1987	1	Bottom Water	2.2
Tolo Harbour And Channel	TM3	04-02-1987	1	Surface Water	3.8
Tolo Harbour And Channel	TM3	04-02-1987	1	Middle Water	1.7
Tolo Harbour And Channel	TM3	04-02-1987	1	Bottom Water	0.1
Tolo Harbour And Channel	TM3	17-02-1987	1	Surface Water	4.8
Tolo Harbour And Channel	TM3	17-02-1987	1	Middle Water	3.2
Tolo Harbour And Channel	TM3	17-02-1987	1	Bottom Water	3.1
Tolo Harbour And Channel	TM3	04-03-1987	1	Surface Water	5.3
Tolo Harbour And Channel	TM3	04-03-1987	1	Middle Water	3.5
Tolo Harbour And Channel	TM3	04-03-1987	1	Bottom Water	1
Tolo Harbour And Channel	TM3	18-03-1987	1	Surface Water	6
Tolo Harbour And Channel	TM3	18-03-1987	1	Middle Water	0.4
Tolo Harbour And Channel	TM3	18-03-1987	1	Bottom Water	0.3
Tolo Harbour And Channel	TM3	01-04-1987	1	Surface Water	3.4
Tolo Harbour And Channel	TM3	01-04-1987	1	Middle Water	1.9
Tolo Harbour And Channel	TM3	01-04-1987	1	Bottom Water	1.3
Tolo Harbour And Channel	TM3	15-04-1987	1	Surface Water	0.6
Tolo Harbour And Channel	TM3	15-04-1987	1	Middle Water	0.2
Tolo Harbour And Channel	TM3	15-04-1987	1	Bottom Water	0.2
Tolo Harbour And Channel	TM3	29-04-1987	1	Surface Water	3.8
Tolo Harbour And Channel	TM3	29-04-1987	1	Middle Water	2
Tolo Harbour And Channel	TM3	29-04-1987	1	Bottom Water	1.9
Tolo Harbour And Channel	TM3	13-05-1987	1	Surface Water	4.5
Tolo Harbour And Channel	TM3	13-05-1987	1	Middle Water	4.3
Tolo Harbour And Channel	TM3	13-05-1987	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	27-05-1987	1	Surface Water	4.7
Tolo Harbour And Channel	TM3	27-05-1987	1	Middle Water	2
Tolo Harbour And Channel	TM3	27-05-1987	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	10-06-1987	1	Surface Water	2.4
Tolo Harbour And Channel	TM3	10-06-1987	1	Middle Water	1
Tolo Harbour And Channel	TM3	10-06-1987	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	24-06-1987	1	Surface Water	7.5
Tolo Harbour And Channel	TM3	24-06-1987	1	Middle Water	5.9
Tolo Harbour And Channel	TM3	24-06-1987	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	09-07-1987	1	Surface Water	4.6
Tolo Harbour And Channel	TM3	09-07-1987	1	Middle Water	2.3
Tolo Harbour And Channel	TM3	09-07-1987	1	Bottom Water	1.3
Tolo Harbour And Channel	TM3	22-07-1987	1	Surface Water	3.7
Tolo Harbour And Channel	TM3	22-07-1987	1	Middle Water	1.5
Tolo Harbour And Channel	TM3	22-07-1987	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	05-08-1987	1	Surface Water	5.5
Tolo Harbour And Channel	TM3	05-08-1987	1	Middle Water	2.5
Tolo Harbour And Channel	TM3	05-08-1987	1	Bottom Water	1.1
